country_or_area,commodity_transaction,year,unit,quantity,quantity_footnotes,category
Mexico,Anthracite - Final consumption,2003,"Metric tons,  thousand",65,,anthracite
Mexico,Anthracite - final energy consumption,2014,"Metric tons,  thousand",97,,anthracite
Mexico,Anthracite - final energy consumption,2013,"Metric tons,  thousand",115,,anthracite
Mexico,Anthracite - final energy consumption,2012,"Metric tons,  thousand",88,,anthracite
Mexico,Anthracite - final energy consumption,2011,"Metric tons,  thousand",84,,anthracite
Mexico,Anthracite - final energy consumption,2010,"Metric tons,  thousand",48,,anthracite
Mexico,Anthracite - final energy consumption,2009,"Metric tons,  thousand",34,,anthracite
Mexico,Anthracite - final energy consumption,2008,"Metric tons,  thousand",5,,anthracite
Mexico,Anthracite - final energy consumption,2007,"Metric tons,  thousand",9,,anthracite
Mexico,Anthracite - final energy consumption,2006,"Metric tons,  thousand",52,,anthracite
Mexico,Anthracite - final energy consumption,2005,"Metric tons,  thousand",48,,anthracite
Mexico,Anthracite - final energy consumption,2004,"Metric tons,  thousand",60,,anthracite
Mexico,Anthracite - final energy consumption,2003,"Metric tons,  thousand",65,,anthracite
Mexico,Anthracite - imports,2014,"Metric tons,  thousand",30,,anthracite
Mexico,Anthracite - imports,2013,"Metric tons,  thousand",59,,anthracite
Mexico,Anthracite - imports,2012,"Metric tons,  thousand",52,,anthracite
Mexico,Anthracite - imports,2011,"Metric tons,  thousand",35,,anthracite
Mexico,Anthracite - imports,2010,"Metric tons,  thousand",19,,anthracite
Mexico,Anthracite - imports,2009,"Metric tons,  thousand",4,,anthracite
Mexico,Anthracite - imports,2008,"Metric tons,  thousand",5,,anthracite
Mexico,Anthracite - imports,2007,"Metric tons,  thousand",9,,anthracite
Mexico,Anthracite - imports,2006,"Metric tons,  thousand",39,,anthracite
Mexico,Anthracite - imports,2005,"Metric tons,  thousand",38,,anthracite
Mexico,Anthracite - imports,2004,"Metric tons,  thousand",51,,anthracite
Mexico,Anthracite - imports,2003,"Metric tons,  thousand",55,,anthracite
Mexico,Anthracite - production,2014,"Metric tons,  thousand",70,,anthracite
Mexico,Anthracite - production,2013,"Metric tons,  thousand",65,,anthracite
Mexico,Anthracite - production,2012,"Metric tons,  thousand",35,,anthracite
Mexico,Anthracite - production,2011,"Metric tons,  thousand",60,,anthracite
Mexico,Anthracite - production,2010,"Metric tons,  thousand",35,,anthracite
Mexico,Anthracite - production,2009,"Metric tons,  thousand",35,,anthracite
Mexico,Anthracite - production,2008,"Metric tons,  thousand",7,,anthracite
Mexico,Anthracite - production,2007,"Metric tons,  thousand",8,,anthracite
Mexico,Anthracite - production,2006,"Metric tons,  thousand",16,,anthracite
Mexico,Anthracite - production,2005,"Metric tons,  thousand",14,,anthracite
Mexico,Anthracite - production,2004,"Metric tons,  thousand",11,,anthracite
Mexico,Anthracite - production,2003,"Metric tons,  thousand",10,,anthracite
Mexico,Anthracite - stock changes,2014,"Metric tons,  thousand",-1,,anthracite
Mexico,Anthracite - stock changes,2013,"Metric tons,  thousand",3,,anthracite
Mexico,Anthracite - stock changes,2012,"Metric tons,  thousand",-6,,anthracite
Mexico,Anthracite - stock changes,2011,"Metric tons,  thousand",2,,anthracite
Mexico,Anthracite - Total energy supply,2014,"Metric tons,  thousand",97,,anthracite
Mexico,Anthracite - Total energy supply,2013,"Metric tons,  thousand",117,,anthracite
Mexico,Anthracite - Total energy supply,2012,"Metric tons,  thousand",87,,anthracite
Mexico,Anthracite - Total energy supply,2011,"Metric tons,  thousand",84,,anthracite
Mexico,Anthracite - Total energy supply,2010,"Metric tons,  thousand",49,,anthracite
Mexico,Anthracite - Total energy supply,2009,"Metric tons,  thousand",34,,anthracite
Mexico,Anthracite - Total energy supply,2008,"Metric tons,  thousand",5,,anthracite
Mexico,Anthracite - Total energy supply,2007,"Metric tons,  thousand",9,,anthracite
Mexico,Anthracite - Total energy supply,2006,"Metric tons,  thousand",52,,anthracite
Mexico,Anthracite - Total energy supply,2005,"Metric tons,  thousand",48,,anthracite
Mexico,Anthracite - Total energy supply,2004,"Metric tons,  thousand",61,,anthracite
Mexico,Anthracite - Total energy supply,2003,"Metric tons,  thousand",65,,anthracite
Mexico,Aviation gasoline - Consumption by transport,2014,"Metric tons,  thousand",14,,aviation_gasoline
Mexico,Aviation gasoline - Consumption by transport,2013,"Metric tons,  thousand",8,,aviation_gasoline
Mexico,Aviation gasoline - Consumption by transport,2012,"Metric tons,  thousand",8,,aviation_gasoline
Mexico,Aviation gasoline - Consumption by transport,2011,"Metric tons,  thousand",9,,aviation_gasoline
Mexico,Aviation gasoline - Consumption by transport,2010,"Metric tons,  thousand",20,,aviation_gasoline
Mexico,Aviation gasoline - Consumption by transport,2009,"Metric tons,  thousand",20,,aviation_gasoline
Mexico,Aviation gasoline - Consumption by transport,2008,"Metric tons,  thousand",21,,aviation_gasoline
Mexico,Aviation gasoline - Consumption by transport,2007,"Metric tons,  thousand",20,,aviation_gasoline
Mexico,Aviation gasoline - Consumption by transport,2006,"Metric tons,  thousand",19,,aviation_gasoline
Mexico,Aviation gasoline - Consumption by transport,2005,"Metric tons,  thousand",18,,aviation_gasoline
Mexico,Aviation gasoline - Consumption by transport,2004,"Metric tons,  thousand",16,,aviation_gasoline
Mexico,Aviation gasoline - Consumption by transport,2003,"Metric tons,  thousand",17,,aviation_gasoline
Mexico,Aviation gasoline - Consumption by transport,2002,"Metric tons,  thousand",17,,aviation_gasoline
Mexico,Aviation gasoline - Consumption by transport,2001,"Metric tons,  thousand",16,,aviation_gasoline
Mexico,Aviation gasoline - Consumption by transport,2000,"Metric tons,  thousand",18,,aviation_gasoline
Mexico,Aviation gasoline - Consumption by transport,1999,"Metric tons,  thousand",20,,aviation_gasoline
Mexico,Aviation gasoline - Consumption by transport,1998,"Metric tons,  thousand",0,,aviation_gasoline
Mexico,Aviation gasoline - Consumption by transport,1997,"Metric tons,  thousand",0,,aviation_gasoline
Mexico,Aviation gasoline - Consumption by transport,1996,"Metric tons,  thousand",0,,aviation_gasoline
Mexico,Aviation gasoline - Consumption by transport,1995,"Metric tons,  thousand",0,,aviation_gasoline
Mexico,Aviation gasoline - Consumption by transport,1994,"Metric tons,  thousand",0,,aviation_gasoline
Mexico,Aviation gasoline - Consumption by transport,1993,"Metric tons,  thousand",0,,aviation_gasoline
Mexico,Aviation gasoline - Consumption by transport,1992,"Metric tons,  thousand",0,,aviation_gasoline
Mexico,Aviation gasoline - Consumption by transport,1991,"Metric tons,  thousand",0,,aviation_gasoline
Mexico,Aviation gasoline - Consumption by transport,1990,"Metric tons,  thousand",0,,aviation_gasoline
Mexico,Aviation gasoline - Consumption in domestic aviation,2014,"Metric tons,  thousand",14,,aviation_gasoline
Mexico,Aviation gasoline - Consumption in domestic aviation,2013,"Metric tons,  thousand",8,,aviation_gasoline
Mexico,Aviation gasoline - Consumption in domestic aviation,2012,"Metric tons,  thousand",8,,aviation_gasoline
Mexico,Aviation gasoline - Consumption in domestic aviation,2011,"Metric tons,  thousand",9,,aviation_gasoline
Mexico,Aviation gasoline - Consumption in domestic aviation,2010,"Metric tons,  thousand",20,,aviation_gasoline
Mexico,Aviation gasoline - Consumption in domestic aviation,2009,"Metric tons,  thousand",20,,aviation_gasoline
Mexico,Aviation gasoline - Consumption in domestic aviation,2008,"Metric tons,  thousand",21,,aviation_gasoline
Mexico,Aviation gasoline - Consumption in domestic aviation,2007,"Metric tons,  thousand",20,,aviation_gasoline
Mexico,Aviation gasoline - Consumption in domestic aviation,2006,"Metric tons,  thousand",19,,aviation_gasoline
Mexico,Aviation gasoline - Consumption in domestic aviation,2005,"Metric tons,  thousand",18,,aviation_gasoline
Mexico,Aviation gasoline - Consumption in domestic aviation,2004,"Metric tons,  thousand",16,,aviation_gasoline
Mexico,Aviation gasoline - Consumption in domestic aviation,2003,"Metric tons,  thousand",17,,aviation_gasoline
Mexico,Aviation gasoline - Consumption in domestic aviation,2002,"Metric tons,  thousand",17,,aviation_gasoline
Mexico,Aviation gasoline - Consumption in domestic aviation,2001,"Metric tons,  thousand",16,,aviation_gasoline
Mexico,Aviation gasoline - Consumption in domestic aviation,2000,"Metric tons,  thousand",18,,aviation_gasoline
Mexico,Aviation gasoline - Consumption in domestic aviation,1999,"Metric tons,  thousand",20,,aviation_gasoline
Mexico,Aviation gasoline - Consumption in domestic aviation,1998,"Metric tons,  thousand",0,,aviation_gasoline
Mexico,Aviation gasoline - Consumption in domestic aviation,1997,"Metric tons,  thousand",0,,aviation_gasoline
Mexico,Aviation gasoline - Consumption in domestic aviation,1996,"Metric tons,  thousand",0,,aviation_gasoline
Mexico,Aviation gasoline - Consumption in domestic aviation,1995,"Metric tons,  thousand",0,,aviation_gasoline
Mexico,Aviation gasoline - Consumption in domestic aviation,1994,"Metric tons,  thousand",0,,aviation_gasoline
Mexico,Aviation gasoline - Consumption in domestic aviation,1993,"Metric tons,  thousand",0,,aviation_gasoline
Mexico,Aviation gasoline - Consumption in domestic aviation,1992,"Metric tons,  thousand",0,,aviation_gasoline
Mexico,Aviation gasoline - Consumption in domestic aviation,1991,"Metric tons,  thousand",0,,aviation_gasoline
Mexico,Aviation gasoline - Consumption in domestic aviation,1990,"Metric tons,  thousand",0,,aviation_gasoline
Mexico,Aviation gasoline - Final consumption,2014,"Metric tons,  thousand",14,,aviation_gasoline
Mexico,Aviation gasoline - Final consumption,2013,"Metric tons,  thousand",8,,aviation_gasoline
